protocol,chain,pool_name,apy,apy_base,apy_reward,tvl_usd,usdc_liquidity,risk_score,category,min_deposit,oracle_confidence,last_updated,risk_adjusted_apy,tvl_millions,liquidity_millions,risk_category
abracadabra-spell,arbitrum,ETH-USDC,11.82741,11.82741,0.0,1861442.0,930721.0,0.992554232,lp_pool,1.0,0.9,2025-09-27 11:56:28.804850,5.935803307159371,1.861442,0.930721,High
beefy,base,WABASGHO-WABASUSDC,11.78538,0.0,0.0,2443027.0,1221513.5,0.990227892,lp_pool,1.0,0.9,2025-09-27 11:56:28.804626,5.921623371561109,2.443027,1.2215135,High
merkl,ethereum,USDC,11.81714,0.0,11.81714,1059937.0,1006940.1499999999,0.995760252,other,1.0,0.9,2025-09-27 11:56:28.805338,5.921122032647838,1.059937,1.00694015,High
uniswap-v3,ethereum,USDC-WLFI,11.61921,11.61921,0.0,4294195.0,2147097.5,0.98282322,lp_pool,1.0,0.9,2025-09-27 11:56:28.804270,5.859932384693377,4.294195,2.1470975,High
uniswap-v3,ethereum,RLUSD-USDC,11.63625,11.63625,0.0,2034146.0,1017073.0,0.9918634159999999,lp_pool,1.0,0.9,2025-09-27 11:56:28.804780,5.841891520537873,2.034146,1.017073,High
beefy,ethereum,WAETHUSDT-WAETHLIDOGHO-WAETHUSDC,11.43469,0.0,0.0,6401530.0,3200765.0,0.97439388,lp_pool,1.0,0.9,2025-09-27 11:56:28.804003,5.7914938431636545,6.40153,3.200765,High
aerodrome-slipstream,base,USDC-USDT,11.52688,6.99472,4.53216,2400394.0,1200197.0,0.990398424,lp_pool,1.0,0.9,2025-09-27 11:56:28.804643,5.791242527631745,2.400394,1.200197,High
curve-dex,ethereum,USDE-USDC,11.43,11.43,0.0,5184197.0,2592098.5,0.979263212,stable_lp,1.0,0.9,2025-09-27 11:56:28.804131,5.774876191656312,5.184197,2.5920985,High
morpho-blue,ethereum,HYPERUSDC,9.2034,9.2034,0.0,104679485.0,34544230.050000004,0.6,other,1.0,0.9,2025-09-27 11:56:28.803113,5.7521249999999995,104.679485,34.54423005,High
euler-v2,ethereum,USDC,11.44643,1.1289,10.31753,1463767.0,1390578.65,0.994144932,other,1.0,0.9,2025-09-27 11:56:28.805038,5.740019101079058,1.463767,1.39057865,High
maverick-v2,ethereum,USDC-USDT,11.42443,11.42443,0.0,2126980.0,1063490.0,0.99149208,lp_pool,1.0,0.9,2025-09-27 11:56:28.804744,5.736618344974788,2.12698,1.06349,High
maple,ethereum,USDC,9.17474,6.97474,2.2,2660547995.0,2527520595.25,0.6,other,1.0,0.9,2025-09-27 11:56:28.801882,5.7342125,2660.547995,2527.52059525,High
wildcat-protocol,ethereum,AMBERUSDC,11.0,11.0,0.0,19992637.0,6597570.21,0.920029452,other,1.0,0.9,2025-09-27 11:56:28.803471,5.729078784985221,19.992637,6.59757021,High
wildcat-protocol,ethereum,WMTUSDC,10.5,10.5,0.0,39911240.0,13170709.200000001,0.8403550399999999,other,1.0,0.9,2025-09-27 11:56:28.803313,5.705420840969904,39.91124,13.170709200000001,High
